,0,1,2,3,4,5,6,7,8,9,file
0,0.0,0.0,0.0,0.0,0.3,0.09,0.08,0.04,0.01,0.0,Aaron_Eckhart_0001.jpg
1,0.0,0.0,0.0,0.0,0.28,0.08,0.15,0.03,0.0,0.0,Aaron_Guiel_0001.jpg
2,0.0,0.0,0.0,0.0,0.29,0.0,0.01,0.01,0.0,0.0,Aaron_Patterson_0001.jpg
3,0.0,0.0,0.0,0.0,0.41,0.1,0.02,0.0,0.0,0.0,Aaron_Peirsol_0001.jpg
4,0.0,0.0,0.03,0.05,0.18,0.1,0.05,0.0,0.0,0.0,Aaron_Peirsol_0002.jpg
5,0.0,0.0,0.0,0.08,0.31,0.03,0.01,0.0,0.0,0.0,Aaron_Peirsol_0003.jpg
6,0.0,0.0,0.0,0.01,0.31,0.07,0.06,0.02,0.0,0.0,Aaron_Peirsol_0004.jpg
7,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.01,0.0,0.0,Aaron_Pena_0001.jpg
8,0.0,0.0,0.01,0.02,0.21,0.05,0.01,0.0,0.0,0.0,Aaron_Sorkin_0001.jpg
9,0.0,0.0,0.0,0.01,0.23,0.05,0.09,0.03,0.0,0.0,Aaron_Sorkin_0002.jpg
10,0.0,0.0,0.0,0.01,0.31,0.04,0.03,0.01,0.0,0.0,Aaron_Tippin_0001.jpg
11,0.0,0.0,0.0,0.0,0.2,0.04,0.06,0.01,0.01,0.0,Abbas_Kiarostami_0001.jpg
12,0.0,0.0,0.0,0.01,0.18,0.01,0.01,0.01,0.0,0.0,Abba_Eban_0001.jpg
13,0.0,0.0,0.0,0.0,0.08,0.03,0.05,0.09,0.04,0.0,Abdel_Aziz_Al-Hakim_0001.jpg
14,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.01,0.02,0.0,Abdel_Madi_Shabneh_0001.jpg
15,0.0,0.0,0.0,0.0,0.0,0.01,0.19,0.1,0.01,0.0,Abdel_Nasser_Assidi_0001.jpg
16,0.0,0.0,0.0,0.0,0.06,0.03,0.04,0.03,0.01,0.0,Abdel_Nasser_Assidi_0002.jpg
17,0.0,0.0,0.03,0.01,0.02,0.05,0.01,0.0,0.0,0.0,Abdoulaye_Wade_0001.jpg
18,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.07,0.01,0.0,Abdoulaye_Wade_0002.jpg
19,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.09,0.01,0.0,Abdoulaye_Wade_0003.jpg
20,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.05,0.0,0.0,Abdoulaye_Wade_0004.jpg
